Product_Code,Revenue_KES,Qty,No_Customers,Daily_Avg_Qty,SP_Vat_Inc,SP_Less_Vat,BP_Less_Vat
KQ263,"369,462,574","3,954,936","385,594","12,094.61",108.37,93.42,88.23
KQ469,"236,835,878","1,806,875","153,153","5,525.61",131.07,131.07,128.41
KQ479,"193,367,228","1,949,351","147,543","5,961.32",99.2,99.2,98.04
KQ480,"134,354,631","1,046,833","105,741","3,201.32",128.34,128.34,125.79
KQ525,"80,081,138","45,058","27,251",138.21,"2,061.66","1,777.29","1,692.75"
KQ524,"54,249,309","14,960","6,844",47.64,"4,206.50","3,626.29","3,520.39"
KQ580,"52,829,986","1,117,884","63,511","3,560.14",54.82,47.26,43.79
KQ281,"31,615,482","6,630","3,927",22.1,"5,531.52","4,768.47","4,772.59"
KQ478,"34,355,603","684,527","35,751","2,093.35",50.19,50.19,48.75
KQ497,"34,216,081","242,460","37,249",746.03,141.12,141.12,137.69
KQ228,"23,426,436","239,562","29,046",762.94,97.79,97.79,92.48
KQ760,"18,946,255","142,639","20,105",447.14,132.83,132.83,128.53
KQ752,"18,918,573","205,714","21,822",875.38,91.97,91.97,91.01
KQ470,"17,792,353","135,295","27,931",415.02,131.51,131.51,127.49
KQ006,"15,092,799","8,229","5,882",26.04,"2,127.55","1,834.10","1,713.28"
KQ248,"17,029,804","128,408","15,940",398.78,132.62,132.62,126.24
KQ019,"14,609,991","8,086","3,974",52.17,"2,095.92","1,806.83","1,700.07"
KQ595,"16,060,558","125,333","16,858",447.62,128.14,128.14,119.9
KQ1259,"13,570,124","2,569","1,326",160.56,"6,127.42","5,282.26","5,208.52"
KQ114,"13,191,767","13,420","9,417",42.2,"1,140.27",982.99,910.83
KQ481,"15,079,668","229,852","18,920",713.83,65.61,65.61,64.89
KQ471,"13,537,798","198,857","16,924",733.79,68.08,68.08,66.15
KQ061,"11,627,191","27,758","17,066",88.4,485.9,418.88,372.02
KQ212,"11,007,932","25,864","16,581",80.32,493.71,425.61,379.57
KQ1266,"10,002,420","2,442","1,906",152.63,"4,751.36","4,095.99","3,961.58"
KQ696,"8,636,962","8,807","6,699",29.75,"1,137.60",980.69,903.66
KQ691,"9,673,463","73,262","9,495",246.67,132.04,132.04,128.7
KQ695,"8,133,853","13,313","6,762",43.51,708.72,610.97,554.78
KQ004,"9,431,763","70,803","22,083",218.53,133.21,133.21,129.62
KQ1265,"7,622,659","3,666","3,291",229.13,"2,411.97","2,079.28","1,980.37"
KQ126,"7,284,071","11,027","8,011",34.46,766.26,660.57,574.49
KQ176,"7,187,560","34,092","18,925",114.4,244.56,210.83,182.82
KQ749,"7,105,662","4,122","2,818",17.32,"1,999.65","1,723.84","1,668.95"
KQ191,"7,357,255","53,228","8,053",171.15,138.22,138.22,133.62
KQ694,"5,957,886","14,177","10,230",46.48,487.49,420.25,374.98
KQ537,"6,542,322","45,656","9,754",151.18,143.3,143.3,135.25
KQ226,"6,408,678","60,580","8,382",185.83,105.79,105.79,100.34
KQ750,"5,796,851","18,592","9,274",70.16,311.79,311.8,287.54
KQ1103,"4,969,639","1,332",654,45.93,"4,327.91","3,730.96","3,656.54"
KQ699,"5,665,060","50,296","7,116",175.25,112.63,112.63,106.47
KQ213,"4,743,798","20,177","13,300",61.89,272.72,235.11,203.1
KQ693,"4,545,778","20,707","11,470",68.57,254.65,219.53,197.53
KQ761,"4,786,809","68,681","6,511",263.15,69.7,69.7,68.84
KQ021,"3,903,344","1,112",820,4.6,"4,071.83","3,510.20","3,387.60"
KQ751,"4,447,237","94,660","4,633",531.8,46.98,46.98,47.84
KQ026,"3,494,018","28,863","9,742",105.34,140.43,121.06,104.95
KQ596,"3,887,691","56,964","4,961",226.05,68.25,68.25,62.64
KQ915,"3,290,751","3,318","2,506",23.87,"1,150.47",991.79,937.16
KQ387,"3,220,672","1,947",974,8.08,"1,918.84","1,654.17","1,558.45"
KQ1220,"3,636,839","1,616","1,220",101,"2,250.52","2,250.52","2,244.84"
KQ974,"3,511,252","11,315","7,302",84.44,310.32,310.32,291.86
KQ509,"2,798,383","33,984","6,525",106.87,95.52,82.34,71.61
KQ374,"2,671,593","1,523","1,480",6.02,"2,034.83","1,754.16","1,625.19"
KQ144,"3,094,324","12,120","7,311",39.22,255.31,255.31,237.83
KQ508,"2,655,201","62,727","5,441",196.02,49.1,42.33,36.72
KQ427,"2,632,403","1,793",952,6.62,"1,703.06","1,468.16","1,399.97"
KQ1244,"2,525,337","1,155",822,72.19,"2,536.27","2,186.44","2,103.32"
KQ498,"2,903,507","38,757","5,738",122.26,74.92,74.92,71.5
KQ141,"2,816,633","59,777","4,406",209.01,47.12,47.12,44.55
KQ1257,"2,357,849","1,046",767,65.38,"2,614.82","2,254.16","2,153.94"
KQ754,"2,660,889","18,177","4,661",67.32,146.39,146.39,139.25
KQ692,"2,191,272","18,545","4,793",66.23,137.07,118.16,106.59
KQ320,"2,088,096","2,744","1,801",11.11,882.72,760.97,711.05
KQ099,"1,819,793","4,198","3,120",14.28,502.85,433.49,391.87
KQ055,"1,776,771","4,293","3,044",15.17,480.09,413.88,358.43
KQ041,"1,635,351","7,582","4,924",25.7,250.2,215.69,186.19
KQ084,"1,541,737","11,912","4,067",43.32,150.14,129.43,112.44
KQ1066,"1,761,708","18,944","2,146",440.56,93,93,85.79
KQ070,"1,499,579","1,557","1,272",5.9,"1,117.22",963.12,863.1
KQ217,"1,453,246","7,006","2,460",23.83,240.62,207.43,184.52
KQ068,"1,446,519","3,670","2,331",13.2,457.21,394.15,350.16
KQ334,"1,438,649","3,589","2,678",11.96,464.98,400.85,355.07
KQ422,"1,400,699","1,423","1,293",5.14,"1,141.82",984.33,879.9
KQ934,"1,398,308",731,615,6.83,"2,218.93","1,912.87","1,836.87"
KQ147,"1,396,267","5,969","2,974",21.63,271.35,233.92,207.23
KQ1222,"1,566,206",696,462,43.5,"2,250.30","2,250.30","2,190.00"
KQ1133,"1,561,668","10,130","1,782",440.43,154.16,154.16,95.47
KQ348,"1,338,134","1,386","1,214",5.46,"1,119.94",965.46,869.07
KQ215,"1,316,628","10,689","6,532",32.79,142.89,123.16,107.94
KQ1221,"1,443,819",632,559,39.5,"2,284.52","2,284.52","2,039.94"
KQ178,"1,225,694","1,491","1,128",5.2,953.59,822.06,763.83
KQ753,"1,413,316","9,489","1,974",32.39,148.94,148.94,141.3
KQ330,"1,215,716","1,849","1,645",6.2,762.7,657.5,568.08
KQ912,"1,409,415","10,443","3,670",348.1,134.96,134.96,125
KQ935,"1,198,068",329,219,3.87,"4,224.19","3,641.54","3,465.62"
KQ064,"1,182,030","5,315","3,644",18.45,257.98,222.4,195.62
KQ511,"1,159,432","13,474","3,299",41.46,99.82,85.93,74.04
KQ200,"1,324,515","11,699","1,387",60.93,113.22,113.2,107.43
KQ069,"1,129,273","1,912","1,542",7.24,685.12,590.62,539.14
KQ510,"1,110,478","24,942","2,704",81.51,51.65,44.52,38.62
